GeneSymbol	OAM091ctrl	OAM093ctrl	OAM094ctrl	OAM091stim	OAM093stim	OAM094stim
AC027269.2	0	0	0	0	0	0
AC068831.10	3	0	3	0	0	0
AC068858.1	3	2	2	3	0	0
AC069277.1	0	0	0	0	0	0
AC072062.1	0	0	0	0	0	0
AC073128.10	0	0	2	0	0	3
AC073133.1	1	3	0	0	0	0
AC073283.4	1	1	1	0	0	0
AC073321.3	20	6	4	3	0	1
AC073628.1	0	0	0	0	0	0
AC074138.3	1	8	5	0	2	0
AC074286.1	2	0	4	4	0	0
AC078941.1	0	0	0	4	0	0
AC079117.1	0	0	2	0	1	0
AC079145.4	0	0	2	0	0	3
AC079610.2	0	2	0	0	0	0
AC079776.3	3	3	3	0	3	1
AC083949.1	12	0	0	1	3	0
AC084125.4	3	0	6	4	1	1
AC087859.1	0	0	0	0	0	1
AC090044.1	0	0	3	0	0	0
AC090505.6	6	3	1	3	0	14
AC091729.9	2	1	17	0	0	0
AC091814.2	0	0	0	0	0	3
AC091878.1	0	3	5	0	6	0
AC091969.1	0	3	0	0	3	0
AC092295.7	0	3	0	1	79	1
AC093375.1	0	0	0	0	0	0
AC093391.2	0	0	0	2	2	2
AC093590.1	0	0	3	0	0	3
AC093627.10	6	0	2	0	0	3
AC093642.3	0	0	0	0	0	0
AC093690.1	0	0	1	0	0	0
AC095067.1	3	6	0	6	3	2
AC096559.1	0	0	0	0	0	0
AC096570.1	0	0	0	0	0	3
AC097468.4	1	0	6	3	0	0
AC097500.2	0	0	0	0	0	0
AC097662.2	12	0	0	4	3	2
AC098823.3	0	0	6	1	3	0
AC099342.1	1	0	0	0	0	0
AC104134.2	0	0	0	0	0	0
AC104653.1	2	0	0	0	0	0
AC104654.1	0	2	0	0	0	0
AC104654.2	5	0	0	0	0	0
AC104655.2	0	0	3	0	0	0
AC104777.2	0	0	8	0	0	0
AC104777.4	0	0	0	0	0	0
AC105053.3	0	6	3	0	0	0
AC105339.1	2	0	3	3	0	0
AC107070.1	0	0	12	1	3	0
AC107622.1	0	0	3	0	0	0
AC109828.1	2	0	7	0	2	3
AC113607.2	0	0	0	0	0	0
AC125421.1	1	0	0	1	2	0
AC137932.6	0	0	0	3	0	4
AC144449.1	0	0	4	0	0	0
AC147651.4	0	0	0	1	105	6
AC159540.1	0	0	4	0	120	0
AC226118.1	0	0	0	1	6	1
ACAA1	0	0	2	0	0	2
ACAA2	0	0	2	3	1417	13
ACACA	4	4	14	2	8	46
ACACB	6	11	23	7	12	10
ACAD10	17	3	16	15	3	13
ACAD11	30	0	0	2	1	0
ACAD8	3	0	3	0	1	0
ACAD9	8	3	3	5	30	26
ACADL	0	28	0	0	222	0
ACADM	0	1	0	15	96	0
ACADS	6	2	5	6	2	2
ACADSB	3	0	11	5	3	0
ACADVL	624	91	68	197	1023	90
ACAN	2	3	33	6	3	15
ACAP1	7	43	167	17	268	10
ACAP2	26	17	14	3	147	268
ACAP3	18	3	238	10	11	24
ACAT1	8	2	5	3	1	0
ACAT2	3	5	3	44	380	6
ACBD3	32	5	26	15	36	4
ACBD4	4	6	6	14	1	2
ACBD5	3	36	5	6	0	2
ACBD6	6	9	349	0	6	0
ACBD7	6	7	4	0	5	6
ACCS	1	0	1	0	0	44
ACCSL	2	2	0	6	0	0
ACD	8	13	7	522	633	8
ACE	10	8	2	4	1	8
ACE2	0	0	8	1	0	0
ACER1	3	2	7	11	1	11
ACER2	5	4	0	0	3	3
ACER3	56	10	17	12	0	3
ACHE	1	1	7	0	1	2
ACIN1	129	12	79	45	296	178
ACKR2	3	0	0	3	0	0
ACKR3	13	0	0	0	0	165
ACKR4	0	0	2	0	0	0
ACLY	6	5	56	7	6	4
ACMSD	0	0	1	1	0	1
ACN9	9	3	0	8	0	3
ACO1	1	3	7	13	51	11
ACO2	2	2	5	9	59	13
ACOT1	0	0	14	6	0	2
ACOT11	5	5	4	0	5	2
ACOT12	0	0	0	0	0	0
ACOT13	2	19	28	43	256	116
ACOT2	6	0	177	6	1	5
ACOT4	0	0	13	6	3	0
ACOT6	9	0	4	0	5	0
ACOT7	5	2	8	3	1	1
ACOT8	2	0	3	4	1	2
ACOT9	0	1	0	537	159	30
ACOX1	16	16	35	39	393	112
ACOX2	5	0	4	2	2	3
ACOX3	112	5	8	8	60	631
ACOXL	7	0	5	0	1	0
ACP1	1	0	1	4	48	0
ACP2	3	15	4	29	62	9
ACP5	13	8	4	0	5	1
ACP6	0	0	2	0	0	2
ACPL2	3	0	0	4	0	2
ACPP	1	0	0	3	0	0
ACPT	2	0	1	3	0	4
ACR	2	3	0	0	0	1
ACRBP	3	0	6	32	0	3
ACRC	0	0	4	1	0	3
ACRV1	1	0	1	2	0	0
ACSBG1	9	7	6	0	0	1
ACSBG2	12	4	20	9	7	7
ACSF2	17	0	5	0	1	0
ACSF3	0	4	8	2	31	7
ACSL1	32	34	4	73	150	14
ACSL3	1	16	8	0	35	20
ACSL4	47	76	262	274	794	307
ACSL5	25	156	236	97	1525	521
ACSL6	1	0	6	3	0	2
ACSM1	2	0	0	6	2	5
ACSM2A	0	0	1	0	34	0
ACSM2B	0	0	0	0	0	2
ACSM3	0	0	0	0	0	0
ACSM4	0	0	0	0	0	1
ACSM5	6	2	2	3	2	1
ACSS1	0	2	2	0	1	4
ACSS2	1	0	6	5	0	11
ACSS3	0	0	1	0	0	3
ACTA1	0	0	0	2	3	0
ACTA2	0	0	25	1	556	0
ACTB	3557	2371	11574	9246	28985	19735
ACTBL2	3	0	3	0	0	0
ACTC1	0	0	0	0	3	0
ACTG1	1336	877	1889	1415	6125	2920
ACTG1P4	6	0	0	0	0	0
ACTG2	0	2	9	1	3	0
ACTL10	0	0	0	14	6	3
ACTL6A	0	0	4	1	0	0
ACTL6B	4	5	3	1	4	0
ACTL7A	3	0	0	0	3	0
ACTL7B	0	0	0	0	0	3
ACTL8	0	3	3	0	2	0
ACTL9	0	0	0	0	0	3
ACTN1	46	84	678	489	3430	621
ACTN1-AS1	0	0	1	0	0	0
ACTN2	0	1	9	0	2	2
ACTN3	4	1	9	6	1	2
ACTN4	3	15	94	109	294	378
ACTR10	0	17	32	2	80	3
ACTR1A	27	94	15	6	48	21
ACTR1B	4	3	3	2	14	5
ACTR2	229	85	3	85	379	30
ACTR3	37	120	8	111	537	337
ACTR3B	0	3	22	0	0	2
ACTR3BP2	0	0	0	0	3	0
ACTR3BP5	0	0	0	0	3	0
ACTR3C	0	0	1	1	1	0
ACTR5	10	0	4	1	318	4
ACTR6	3	0	1	12	12	3
ACTR8	0	3	0	1	0	2
ACTRT1	3	0	0	0	0	0
ACTRT2	0	3	0	0	0	0
ACTRT3	0	3	3	0	3	3
ACVR1	1	0	2	0	257	1
ACVR1B	120	12	51	41	46	51
ACVR1C	0	3	1	0	6	7
ACVR2A	0	0	0	0	9	0
ACVR2B	58	15	5	0	0	9
ACVR2B-AS1	6	0	3	0	3	3
ACVRL1	6	9	5	7	137	0
ACY1	1	7	3	4	0	1
ACY3	3	1	0	0	1	9
ACYP1	0	0	0	0	0	3
ACYP2	0	0	0	0	0	3
AD000090.2	0	0	0	6	0	3
ADA	0	105	13	21	22654	235
ADAD1	0	4	4	0	0	0
ADAD2	6	1	9	2	3	1
ADAL	0	0	3	0	4	0
ADAM10	3	15	3	310	38	12
ADAM11	4	9	2	12	22	0
ADAM12	0	0	8	3	0	0
ADAM15	10	4	36	1	2	0
ADAM17	16	94	441	276	1485	246
ADAM18	0	0	0	0	0	0
ADAM19	35	20	5	12	3	15
ADAM1A	6	6	9	0	0	6
ADAM2	0	0	1	0	0	0
ADAM20	0	0	0	0	0	0
ADAM20P1	3	3	3	0	0	0
ADAM21	2	0	0	0	0	3
ADAM21P1	15	0	3	9	0	0
ADAM22	1	0	6	0	0	0
ADAM23	1	0	1	7	4	0
ADAM28	0	2	0	0	8	3
ADAM29	0	0	3	0	0	3
ADAM30	6	0	0	0	0	0
ADAM32	3	0	0	0	0	1
ADAM33	19	0	11	3	2	8
ADAM3A	0	1	0	0	1	0
ADAM5	0	0	0	0	0	0
ADAM6	0	6	0	0	0	3
ADAM7	0	1	1	0	0	1
ADAM8	5	19	24	347	2331	40
ADAM9	18	2	17	204	139	17
ADAMDEC1	6	0	62	24	6	53
ADAMTS1	0	6	2	0	6	1
ADAMTS10	13	5	141	7	8	13
ADAMTS12	3	1	5	0	1	1
ADAMTS13	10	4	5	12	7	3
ADAMTS14	8	3	12	4	1	236
ADAMTS15	8	6	23	0	12	3
ADAMTS16	0	4	1	4	0	4
ADAMTS17	6	3	17	2	0	6
ADAMTS18	0	3	3	0	290	1
ADAMTS19	0	0	1	0	0	3
ADAMTS2	12	4	12	5	3	5
ADAMTS20	1	1	1	0	0	3
ADAMTS3	0	2	3	2	0	0
ADAMTS4	3	52	38	169	3	16
ADAMTS5	0	0	0	9	9	5
ADAMTS6	6	0	0	4	0	3
ADAMTS7	3	6	20	1	4	0
ADAMTS7P1	10	8	14	8	5	1
ADAMTS8	6	0	22	3	4	2
ADAMTS9	2	0	8	0	1	1
ADAMTS9-AS2	3	0	0	0	0	0
ADAMTSL1	1	3	3	0	1	0
ADAMTSL2	13	15	19	24	15	28
ADAMTSL3	1	0	2	5	2	2
ADAMTSL4	9	94	91	10	85	17
ADAMTSL4-AS1	2	14	2	11	16	85
ADAMTSL5	14	0	3	2	7	0
ADAP1	6	0	155	38	151	17
ADAP2	4	9	44	5	9	11
ADAR	14	58	12	54	172	127
ADARB1	0	0	9	1	4	13
ADARB2	11	9	16	0	2	10
ADARB2-AS1	3	0	0	0	0	1
ADAT1	3	32	11	8	4	6
ADAT2	0	105	0	3	20	3
ADAT3	0	181	52	11	626	10
ADC	10	0	0	5	2	4
ADCK1	2	0	7	0	0	3
ADCK2	3	3	5	0	0	124
ADCK3	1	3	0	4	2	3
ADCK4	8	3	3	9	8	54
ADCK5	1	6	11	0	238	2
ADCY1	7	3	7	12	15	4
ADCY10	2	7	2	1	9	3
ADCY10P1	9	1	1	1	0	0
ADCY2	2	0	0	0	5	2
ADCY3	11	48	35	12	5	3
ADCY4	9	6	15	0	9	0
ADCY5	1	1	8	8	2	5
ADCY6	4	1	14	10	4	10
ADCY7	3	14	20	19	0	6
ADCY8	2	1	0	0	0	0
ADCY9	16	42	47	6	70	26
ADCYAP1	0	0	3	0	6	3
ADCYAP1R1	0	6	0	3	4	3
ADD1	79	99	70	329	2069	183
ADD2	3	0	3	1	0	3
ADD3	1	0	6	0	8	6
ADD3-AS1	0	0	0	0	0	0
ADGB	6	0	3	0	2	1
ADH1A	0	0	3	0	0	0
ADH1B	0	0	0	0	0	2
ADH1C	0	0	0	0	0	0
ADH4	0	0	0	0	0	0
ADH5	0	0	9	6	0	3
ADH6	14	0	0	0	0	0
ADH7	1	0	3	2	0	0
ADHFE1	1	1	9	0	1	6
ADI1	2	3	6	0	218	85
ADIG	0	0	2	0	0	0
ADIPOQ	0	0	3	1	154	0
ADIPOQ-AS1	0	0	3	3	154	3
ADIPOR1	6	36	43	17	354	338
ADIPOR2	2	75	34	79	344	16
ADIRF	0	0	2	0	0	1
ADK	0	3	5	3	0	0
ADM	141	45	103	621	226	538
ADM2	3	3	12	12	9	10
ADM5	4	9	6	0	9	3
ADNP	3	6	3	12	13	61
ADNP2	1	9	5	911	87	1
ADO	6	0	15	3	3	3
ADORA1	0	0	0	6	6	0
ADORA2A	10	136	35	104	1576	311
ADORA2A-AS1	18	5	5	3	18	56
ADORA2B	0	0	4	5	6	0
ADORA3	0	0	0	6	4	0
ADPGK	26	5	2	65	255	6
ADPGK-AS1	23	0	1	64	144	0
ADPRH	2	3	9	3	30	2
ADPRHL1	0	0	0	0	5	1
ADPRHL2	9	3	2	15	4	1
ADPRM	0	6	3	0	3	2
ADRA1A	3	0	3	0	0	2
ADRA1B	0	0	0	0	0	0
ADRA1D	0	3	8	3	0	3
ADRA2A	6	9	24	0	3	3
ADRA2B	6	0	293	6	15	3
ADRA2C	2	11	5	12	9	0
ADRB1	15	3	21	9	3	0
ADRB2	0	0	0	0	73	4
ADRB3	0	0	3	0	0	3
ADRBK1	262	150	777	301	501	524
ADRBK2	6	3	191	8	49	59
ADRM1	117	46	9	19	1318	302
ADSL	3	8	5	12	2	18
ADSS	3	0	0	1	30	5
ADSSL1	3	0	9	3	1	1
ADTRP	0	0	0	0	0	3
AEBP1	1	32	3	4	5	0
AEBP2	7	0	8	3	3	0
AEN	1	0	0	3	6	0
AES	6	2	14	40	222	654
AF064858.7	3	0	3	3	0	0
AFAP1	0	6	0	0	1	2
AFAP1-AS1	3	0	1	3	0	15
AFAP1L1	2	30	1	3	4	3
AFAP1L2	58	0	8	0	0	0
AFF1	3	1	78	8	18	6
AFF2	0	4	0	6	0	9
AFF3	11	3	21	6	2	16
AFF4	28	25	17	10	35	21
AFG3L1P	5	5	32	1	0	7
AFG3L2	15	59	5	25	58	283
AFM	0	0	3	0	0	0
AFMID	4	4	14	5	3	3
AFP	5	0	2	0	0	0
AFTPH	2	0	3	6	12	0
AGA	0	1	0	0	109	3
AGAP1	20	17	9	8	6	5
AGAP11	0	0	9	2	3	9
AGAP2	13	6	20	16	10	34
AGAP2-AS1	3	3	6	3	12	1
AGAP3	23	23	263	437	1580	452
AGAP4	3	5	10	3	3	3
AGAP5	1	2	17	3	0	0
AGAP6	3	7	9	9	7	6
AGAP7	0	11	10	4	12	21
AGAP8	0	5	12	7	3	0
AGAP9	7	3	9	0	0	7
AGBL1	0	1	3	1	0	0
AGBL1-AS1	0	0	0	0	0	3
AGBL2	7	5	11	6	7	12
AGBL3	0	0	3	0	0	0
AGBL4	1	4	6	36	0	0
AGBL4-IT1	0	0	2	0	0	0
AGBL5	14	4	5	59	324	28
AGBL5-AS1	0	0	0	4	2	0
AGER	1	29	54	0	2	0
AGFG1	17	3	0	95	138	20
AGFG2	18	23	18	2	13	4
AGGF1	3	11	4	7	33	12
AGK	0	0	5	0	16	3
AGL	4	5	7	3	0	18
AGMAT	19	11	1742	8	0	11
AGMO	0	0	1	0	0	0
AGO1	9	6	536	13	6	250
AGO2	12	2	16	16	83	16
AGO3	29	78	46	240	100	7
AGO4	11	0	22	5	55	54
AGPAT1	3	33	146	9	377	22
AGPAT2	0	146	15	161	1023	676
AGPAT3	8	12	79	195	418	56
AGPAT4	1	21	18	2	109	170
AGPAT4-IT1	0	43	17	24	21	0
AGPAT5	0	12	17	6	262	346
AGPAT6	5	284	486	285	481	669
AGPAT9	10	0	4	2	1	1
AGPS	6	0	0	0	2	3
AGR2	2	0	0	0	0	1
AGR3	0	0	0	0	0	1
AGRN	67	556	723	206	1058	233
AGRP	1	4	2	4	3	7
AGT	0	0	0	0	827	5
AGTPBP1	3	56	8	9	48	87
AGTR1	0	0	0	0	0	0
AGTR2	0	0	0	1	0	0
AGTRAP	5	158	2	294	95	209
AGXT	3	0	0	1	2	1
AGXT2	0	1	2	3	3	0
AHCTF1	20	8	10	6	18	0
AHCTF1P1	14	6	23	15	14	0
AHCY	2	5	5	1	0	5
AHCYL1	9	6	14	57	24	27
AHCYL2	3	1	6	7	2	3
AHDC1	3	10	17	27	3	9
AHI1	8	0	50	68	322	85
AHNAK	18	29	185	187	244	58
AHNAK2	305	651	21	25	15	9
AHR	3	40	9	29	11	70
AHRR	2	9	2	14	25	11
AHSA1	17	3	19	4	21	9
AHSA2	0	0	12	11	5	5
AHSG	5	0	1	0	0	2
AHSP	0	0	0	1	0	2
AICDA	6	1	18	0	4	5
AIDA	0	1	0	0	0	0
AIF1	0	0	28	16	4	4
AIF1L	6	1	6	3	0	0
AIFM1	5	0	4	5	1	4
AIFM2	12	2	4	11	17	1
AIFM3	11	4	7	4	6	7
AIG1	0	0	8	1	31	0
AIM1	0	5	16	14	4	48
AIM1L	19	9	20	13	12	4
AIM2	2	0	0	0	3	0
AIMP1	2	0	3	0	616	20
AIMP2	0	0	1	5	23	24
AIP	7	1	2	10	68	677
AIPL1	7	7	10	5	4	5
AIRE	2	0	4	1	11	0
AIRN	0	0	1	0	0	10
AJAP1	0	0	7	0	0	1
AJUBA	4	2	4	13	2	14
AK1	9	1	9	0	110	6
AK2	2	2	7	4	1	1
AK3	3	3	6	0	3	6
AK4	423	64	355	421	1811	746
AK5	0	0	17	0	0	5
AK6	0	3	6	7	2	0
AK7	10	7	8	2	1	2
AK8	8	0	1	5	1	1
AK9	2	0	6	1	1	1
AKAP1	8	8	9	8	2	1
AKAP10	12	8	8	12	27	6
AKAP11	6	9	4	6	15	44
AKAP12	3	7	19	24	15	13
AKAP13	18	68	53	184	493	241
AKAP14	0	5	0	0	0	0
AKAP17A	10	6	10	56	97	6
AKAP2	207	20	1237	335	521	31
AKAP3	3	9	0	0	1	0
AKAP4	3	0	0	0	0	0
AKAP5	0	3	15	0	3	6
AKAP6	0	3	3	0	0	0
AKAP7	0	0	8	0	0	0
AKAP8	37	18	12	11	25	23
AKAP8L	10	13	11	11	0	103
AKAP9	3	15	12	414	134	40
AKIP1	0	0	4	0	14	6
AKIRIN1	25	45	8	132	97	17
AKIRIN2	31	920	1267	629	3634	1896
AKNA	4	12	41	146	907	182
AKNAD1	1	7	6	0	3	1
AKR1A1	29	2	17	2	137	7
AKR1B1	0	0	8	0	149	21
AKR1B10	0	1	0	0	1	0
AKR1B15	0	10	0	0	0	0
AKR1C1	3	0	2	0	0	3
AKR1C2	5	2	2	0	2	11
AKR1C3	0	0	0	4	0	0
AKR1C4	1	0	5	3	0	0
AKR1C6P	0	2	1	0	2	0
AKR1CL1	0	2	3	0	0	0
AKR1D1	3	0	0	0	4	3
AKR1E2	0	0	0	3	0	1
AKR7A2	23	103	7	0	9	1146
AKR7A2P1	9	0	0	0	3	6
AKR7A3	1	0	2	1	2	3
AKR7L	3	10	8	9	5	1
AKT1	9	7	35	23	141	69
AKT1S1	12	15	42	26	16	645
AKT2	11	17	22	0	74	23
AKT3	2	4	0	2	13	1
AKTIP	0	1	1	1	0	4
AL109763.2	3	0	0	0	0	1
AL121656.5	0	0	3	0	0	0
AL592528.1	0	6	1	9	3	0
ALAD	4	6	5	3	2	3
ALAS1	3	18	6	47	145	106
ALAS2	0	0	0	0	1	0
ALB	5	0	2	0	1	1
ALCAM	3	9	0	0	189	8
ALDH16A1	54	10	12	13	8	10
ALDH18A1	3	1	21	15	0	5
ALDH1A1	0	0	0	0	0	1
ALDH1A2	1	0	1	0	0	0
ALDH1A3	3	3	0	3	3	4
ALDH1B1	3	3	12	0	0	0
ALDH1L1	1	0	3	11	2	1
ALDH1L1-AS1	0	0	0	1	0	0
ALDH1L1-AS2	0	0	6	0	3	6
ALDH1L2	0	3	9	3	6	0
ALDH2	8	2	6	6	0	1
ALDH3A1	5	3	0	8	1	0
ALDH3A2	0	4	11	0	0	912
